Fold,Protein name,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
VIRAL COAT AND CAPSID PROTEINS (BELTA),1BBT2,25.71428571428571,42.38095238095238,31.9047619047619,9.090909090909092,10.047846889952153,11.483253588516746,2.0,51.75,105.5,157.75,209.0,7.0,39.0,90.0,155.0,207.0,0.0,63.5,114.0,155.0,205.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2CAS,30.474452554744524,41.42335766423358,28.102189781021895,12.248628884826324,10.23765996343693,10.968921389396709,9.0,130.5,290.0,430.0,545.0,0.0,160.0,283.0,391.5,547.0,1.0,105.0,237.0,425.25,546.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),4RHV1,29.67032967032967,43.956043956043956,26.373626373626376,15.073529411764705,7.720588235294118,11.76470588235294,9.0,77.0,142.0,216.0,270.0,0.0,57.75,139.5,197.5,272.0,1.0,64.25,129.5,200.25,269.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),4RHV2,23.52941176470588,43.529411764705884,32.94117647058823,10.236220472440944,8.661417322834646,13.779527559055119,3.0,46.25,106.5,167.5,254.0,0.0,63.0,129.0,196.5,253.0,5.0,80.25,136.0,196.75,252.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),4RHV3,23.728813559322035,44.91525423728814,31.35593220338983,8.936170212765958,7.659574468085106,12.76595744680851,11.0,55.75,90.0,171.5,235.0,0.0,57.25,121.0,176.5,234.0,1.0,68.5,123.5,185.75,233.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2MEV1,25.74626865671642,45.52238805970149,28.73134328358209,10.112359550561797,8.98876404494382,10.861423220973784,2.0,61.0,108.0,205.0,265.0,0.0,65.5,137.5,191.75,267.0,1.0,76.0,141.0,213.0,266.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2MEV2,27.309236947791167,43.77510040160642,28.915662650602407,10.887096774193548,9.274193548387096,12.903225806451612,0.0,56.75,118.5,163.75,248.0,3.0,55.0,123.0,195.0,246.0,2.0,78.25,130.0,190.5,245.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),2MEV3,19.047619047619047,50.21645021645021,30.735930735930733,8.695652173913043,6.521739130434782,16.52173913043478,7.0,55.75,103.0,171.25,230.0,0.0,57.0,116.5,169.25,229.0,2.0,62.5,113.0,175.5,227.0
VIRAL COAT AND CAPSID PROTEINS (BELTA),1FOD4,27.659574468085108,44.680851063829785,27.659574468085108,10.869565217391305,6.521739130434782,13.043478260869565,2.0,13.0,17.0,25.0,31.0,0.0,10.0,24.0,36.0,46.0,6.0,19.0,29.0,40.0,45.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1LENA,28.7292817679558,43.646408839779006,27.624309392265197,15.555555555555555,6.111111111111111,15.0,1.0,50.25,106.5,139.5,180.0,0.0,42.0,83.0,125.5,179.0,5.0,51.25,85.5,139.5,176.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),2AYH,27.570093457943923,46.728971962616825,25.70093457943925,12.206572769953052,10.7981220657277,9.389671361502346,0.0,44.0,104.0,153.5,213.0,1.0,54.75,99.5,162.0,212.0,5.0,59.0,110.0,160.5,208.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1SLTA,33.582089552238806,32.83582089552239,33.582089552238806,11.278195488721805,14.285714285714285,10.526315789473683,7.0,36.0,63.0,101.0,133.0,0.0,32.5,67.0,97.0,131.0,1.0,31.0,67.0,99.0,132.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1SACA,28.921568627450984,37.254901960784316,33.82352941176471,11.822660098522167,9.35960591133005,10.83743842364532,2.0,55.0,105.0,144.5,198.0,0.0,49.25,99.5,148.75,199.0,3.0,49.0,106.0,159.0,203.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1CELA,25.806451612903224,50.0,24.193548387096776,12.471131639722865,7.390300230946882,11.778290993071593,0.0,117.75,217.0,317.75,430.0,1.0,104.0,223.0,332.0,433.0,3.0,109.0,209.0,317.0,425.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1XNB,23.783783783783786,54.054054054054056,22.162162162162165,17.391304347826086,4.3478260869565215,13.586956521739129,3.0,45.75,99.0,134.25,180.0,0.0,48.25,92.5,137.25,182.0,5.0,41.0,80.0,145.0,184.0
CONA-LIKE LECTINGS/GLUCANASES (BELTA),1LOBD,19.230769230769234,50.0,30.76923076923077,1.9607843137254901,13.725490196078432,9.803921568627452,0.0,8.25,15.0,27.5,44.0,1.0,22.5,30.5,42.75,51.0,5.0,13.25,20.0,36.25,45.0
SH3 LIKE BARREL (BELTA),1SHFA,30.508474576271187,42.3728813559322,27.11864406779661,17.24137931034483,6.896551724137931,12.068965517241379,8.0,15.25,25.0,36.25,58.0,1.0,18.0,38.0,47.0,56.0,0.0,5.5,26.0,37.25,57.0
SH3 LIKE BARREL (BELTA),1SHG,41.935483870967744,27.419354838709676,30.64516129032258,9.836065573770492,11.475409836065573,8.19672131147541,1.0,16.25,31.0,45.5,61.0,3.0,14.0,27.0,50.0,56.0,0.0,16.5,32.0,44.0,60.0
SH3 LIKE BARREL (BELTA),1PKT,36.708860759493675,40.50632911392405,22.78481012658228,15.384615384615385,6.41025641025641,11.538461538461538,3.0,17.0,33.0,56.0,78.0,1.0,21.25,43.0,62.25,77.0,0.0,25.75,36.5,53.5,76.0
SH3 LIKE BARREL (BELTA),2HSP,39.436619718309856,32.3943661971831,28.169014084507044,14.285714285714285,7.142857142857142,11.428571428571429,5.0,19.75,35.5,51.5,70.0,0.0,12.0,38.0,50.5,68.0,4.0,19.5,31.5,52.25,67.0
SH3 LIKE BARREL (BELTA),1CSKA,32.3943661971831,39.436619718309856,28.169014084507044,11.428571428571429,8.571428571428571,11.428571428571429,4.0,25.5,45.0,55.5,68.0,1.0,10.75,25.5,47.5,69.0,0.0,17.75,34.5,47.75,70.0
SH3 LIKE BARREL (BELTA),1SEMA,41.37931034482759,27.586206896551722,31.03448275862069,15.789473684210526,10.526315789473683,8.771929824561402,0.0,13.75,30.5,40.5,57.0,1.0,15.75,30.5,49.25,56.0,3.0,12.0,27.0,40.0,54.0
SH3 LIKE BARREL (BELTA),1PSE,30.434782608695656,39.130434782608695,30.434782608695656,10.294117647058822,11.76470588235294,11.76470588235294,2.0,12.0,38.0,55.0,65.0,0.0,19.5,33.0,50.5,68.0,1.0,20.0,35.0,47.0,67.0
SH3 LIKE BARREL (BELTA),1SSO,43.54838709677419,30.64516129032258,25.806451612903224,9.836065573770492,14.754098360655737,4.918032786885246,3.0,13.0,33.0,49.5,61.0,0.0,20.5,35.0,41.0,50.0,2.0,17.25,25.5,46.25,57.0
OB-FOLD (BELTA),1LTSD,35.92233009708738,34.95145631067961,29.126213592233007,12.745098039215685,9.803921568627452,11.76470588235294,2.0,28.0,58.0,78.0,102.0,0.0,23.25,45.0,74.25,99.0,4.0,31.5,50.0,79.75,100.0
OB-FOLD (BELTA),1BOVA,31.88405797101449,36.231884057971016,31.88405797101449,10.294117647058822,11.76470588235294,11.76470588235294,2.0,15.25,26.5,41.25,68.0,0.0,13.0,41.0,53.0,63.0,3.0,24.25,38.5,50.5,67.0
OB-FOLD (BELTA),1PRTC2,24.545454545454547,48.18181818181818,27.27272727272727,12.844036697247708,5.5045871559633035,13.761467889908257,3.0,31.5,54.0,80.5,103.0,0.0,19.0,48.0,84.0,107.0,1.0,33.25,62.5,76.5,109.0
OB-FOLD (BELTA),1PRTD,25.454545454545453,37.27272727272727,37.27272727272727,7.339449541284404,11.926605504587156,10.091743119266056,0.0,41.75,70.5,89.5,107.0,2.0,25.0,43.0,69.0,109.0,1.0,27.0,55.0,80.0,108.0
OB-FOLD (BELTA),1PRTF,25.510204081632654,40.816326530612244,33.6734693877551,10.309278350515463,8.24742268041237,15.463917525773196,6.0,20.0,42.0,73.0,97.0,1.0,31.75,54.5,75.25,95.0,0.0,25.0,50.0,70.0,96.0
OB-FOLD (BELTA),1KAB,38.970588235294116,36.76470588235294,24.264705882352942,18.51851851851852,8.148148148148149,9.62962962962963,0.0,42.0,71.0,104.0,132.0,2.0,36.5,68.0,102.5,135.0,1.0,28.0,60.0,97.0,134.0
OB-FOLD (BELTA),1TSSA1,37.39837398373984,37.39837398373984,25.203252032520325,10.655737704918032,15.573770491803279,9.01639344262295,2.0,34.0,63.0,98.75,122.0,0.0,26.0,64.5,88.0,119.0,5.0,31.0,57.0,85.0,121.0
OB-FOLD (BELTA),1ASZA1,39.416058394160586,31.386861313868614,29.1970802919708,14.705882352941178,9.558823529411764,11.029411764705882,0.0,25.5,51.5,91.5,134.0,2.0,41.0,71.0,111.5,135.0,10.0,46.0,83.0,103.25,136.0
OB-FOLD (BELTA),1PYP,35.08771929824561,37.54385964912281,27.368421052631582,13.028169014084506,11.267605633802818,10.211267605633804,4.0,64.25,140.5,201.5,276.0,0.0,84.5,147.0,232.5,283.0,6.0,69.75,140.5,198.75,284.0
OB-FOLD (BELTA),1IGP,33.14285714285714,36.57142857142857,30.28571428571429,12.643678160919542,10.919540229885058,10.919540229885058,3.0,44.75,107.0,143.5,174.0,0.0,46.75,78.5,116.5,171.0,1.0,40.0,78.0,125.0,168.0
OB-FOLD (BELTA),1CSP,37.3134328358209,31.343283582089555,31.343283582089555,19.696969696969695,9.090909090909092,12.121212121212121,2.0,18.0,35.0,52.0,65.0,3.0,28.0,39.0,56.0,66.0,0.0,14.0,26.0,40.0,62.0
OB-FOLD (BELTA),1BGH,28.735632183908045,39.08045977011494,32.18390804597701,9.30232558139535,11.627906976744185,11.627906976744185,2.0,20.0,35.0,52.0,86.0,7.0,22.5,49.0,60.75,85.0,0.0,30.0,45.0,69.75,83.0
OB-FOLD (BELTA),1RIP,40.74074074074074,30.864197530864196,28.39506172839506,13.750000000000002,12.5,7.5,0.0,22.0,41.0,59.0,80.0,4.0,24.0,37.0,52.0,78.0,3.0,18.0,51.0,66.0,79.0
TREFOIL (BELTA),1BARA,32.857142857142854,38.57142857142858,28.57142857142857,15.107913669064748,7.194244604316546,11.510791366906476,1.0,36.5,72.5,99.75,139.0,3.0,34.0,69.0,104.25,138.0,0.0,28.75,68.5,107.25,136.0
TREFOIL (BELTA),8I1B,37.5,30.92105263157895,31.57894736842105,11.920529801324504,11.920529801324504,11.258278145695364,3.0,34.0,80.0,106.0,147.0,1.0,46.0,77.0,122.5,151.0,0.0,39.75,70.5,109.5,149.0
TREFOIL (BELTA),1ILR1,34.48275862068966,32.41379310344827,33.10344827586207,9.027777777777777,11.11111111111111,12.5,1.0,31.5,72.0,95.5,144.0,0.0,46.5,81.0,108.0,139.0,2.0,37.0,61.5,111.25,140.0
TREFOIL (BELTA),2ILA,31.61290322580645,36.12903225806451,32.25806451612903,11.688311688311687,10.38961038961039,9.090909090909092,4.0,33.0,71.0,103.0,153.0,0.0,44.75,87.5,119.5,154.0,1.0,29.75,75.0,114.75,150.0
TREFOIL (BELTA),1ABRB1,30.215827338129497,41.726618705035975,28.05755395683453,13.768115942028986,7.246376811594203,10.144927536231885,1.0,32.25,53.0,98.75,136.0,0.0,50.75,76.0,108.75,138.0,2.0,35.5,64.0,98.5,131.0
TREFOIL (BELTA),1ABRB2,30.64516129032258,36.29032258064516,33.064516129032256,10.569105691056912,8.130081300813007,9.75609756097561,10.0,31.25,55.5,88.0,117.0,0.0,27.0,60.0,87.0,121.0,1.0,34.0,68.0,96.0,123.0
TREFOIL (BELTA),1TIE,34.883720930232556,36.04651162790697,29.069767441860467,11.11111111111111,9.941520467836257,10.526315789473683,3.0,52.5,95.5,134.5,169.0,4.0,37.5,79.5,124.75,171.0,0.0,40.5,84.5,126.75,165.0
TREFOIL (BELTA),1HCE,22.033898305084744,55.932203389830505,22.033898305084744,14.529914529914532,3.418803418803419,14.529914529914532,2.0,30.0,57.0,92.5,114.0,1.0,27.5,59.0,87.75,111.0,0.0,36.75,61.0,83.5,117.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),1ARB,22.761194029850746,55.223880597014926,22.01492537313433,9.363295880149813,6.367041198501873,10.112359550561797,6.0,73.0,127.0,189.0,261.0,0.0,76.25,146.0,209.25,267.0,1.0,51.5,126.0,184.0,260.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),2SGA,17.12707182320442,59.66850828729282,23.204419889502763,11.11111111111111,3.888888888888889,15.0,4.0,53.5,79.0,120.0,170.0,1.0,45.5,95.5,139.75,178.0,0.0,37.0,90.0,129.75,180.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),2ALP,21.21212121212121,52.02020202020202,26.767676767676768,13.19796954314721,4.568527918781726,14.720812182741117,1.0,62.25,116.5,159.25,189.0,0.0,47.5,97.0,143.5,197.0,2.0,45.0,85.0,147.0,195.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),1EPTA,13.953488372093023,53.48837209302325,32.55813953488372,7.142857142857142,4.761904761904762,14.285714285714285,9.0,15.0,24.0,31.5,42.0,2.0,9.0,20.0,29.0,41.0,0.0,12.0,23.5,32.0,40.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),1PPBL,41.66666666666667,33.33333333333333,25.0,17.142857142857142,5.714285714285714,14.285714285714285,5.0,15.5,21.0,25.5,35.0,0.0,3.75,10.5,24.75,34.0,1.0,10.0,14.0,27.0,32.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),2SNV,28.47682119205298,44.370860927152314,27.1523178807947,15.333333333333332,9.333333333333334,12.0,0.0,31.0,69.0,109.5,149.0,9.0,47.5,81.0,116.0,147.0,1.0,28.0,59.0,112.0,150.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),2HNTE,34.5679012345679,34.5679012345679,30.864197530864196,8.75,12.5,12.5,0.0,18.5,31.0,58.0,80.0,5.0,35.5,51.5,62.75,79.0,1.0,18.0,35.0,55.0,78.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),2KAIB,26.973684210526315,42.10526315789473,30.92105263157895,11.258278145695364,9.271523178807946,11.258278145695364,1.0,32.0,62.0,102.0,150.0,0.0,41.25,84.0,117.25,151.0,9.0,42.5,74.0,112.5,147.0
TRYPSIN-LIKE SERINE PROTEASES (BELTA),1BBRE,32.11009174311927,35.77981651376147,32.11009174311927,12.037037037037036,11.11111111111111,10.185185185185185,3.0,30.5,53.0,82.5,105.0,0.0,34.0,54.0,76.0,108.0,1.0,19.0,58.0,84.0,106.0
LIPOCALINS (BELTA),1HBQ,37.704918032786885,31.693989071038253,30.601092896174865,11.538461538461538,12.087912087912088,9.340659340659341,0.0,39.0,86.0,146.0,180.0,6.0,53.25,93.5,132.75,177.0,3.0,45.5,91.0,134.25,182.0
LIPOCALINS (BELTA),1BBPA,32.369942196531795,40.46242774566474,27.167630057803464,12.790697674418606,10.465116279069768,8.720930232558139,0.0,39.25,94.5,124.25,172.0,2.0,44.5,77.0,122.75,168.0,1.0,48.0,97.0,132.5,171.0
LIPOCALINS (BELTA),1EPAB,28.65853658536585,39.63414634146341,31.70731707317073,8.588957055214724,12.269938650306749,10.429447852760736,3.0,43.5,83.0,124.0,162.0,0.0,50.0,82.0,119.0,163.0,1.0,37.25,78.5,116.25,157.0
LIPOCALINS (BELTA),1MUP,39.75903614457831,29.518072289156628,30.72289156626506,10.303030303030303,12.121212121212121,7.878787878787878,4.0,38.5,80.5,131.0,165.0,2.0,39.0,84.0,116.0,163.0,0.0,44.5,73.0,121.0,161.0
LIPOCALINS (BELTA),1IFC,40.909090909090914,28.030303030303028,31.060606060606062,7.633587786259542,16.030534351145036,8.396946564885496,3.0,28.25,58.0,99.5,131.0,1.0,41.0,73.0,99.0,124.0,0.0,30.0,62.0,93.0,128.0
LIPOCALINS (BELTA),1LID,35.11450381679389,31.297709923664126,33.587786259541986,10.76923076923077,12.307692307692308,12.307692307692308,1.0,39.5,73.0,102.75,129.0,2.0,32.0,59.0,98.0,130.0,0.0,29.75,62.0,91.5,126.0
LIPOCALINS (BELTA),1MDC,31.297709923664126,43.51145038167939,25.190839694656486,15.384615384615385,6.923076923076923,12.307692307692308,4.0,29.0,63.0,103.0,129.0,0.0,42.0,61.0,97.0,130.0,2.0,28.0,71.0,93.0,123.0
LIPOCALINS (BELTA),1CBS,37.95620437956204,29.1970802919708,32.846715328467155,11.029411764705882,14.705882352941178,8.823529411764707,1.0,40.0,71.5,97.75,136.0,0.0,37.5,59.5,104.5,133.0,2.0,26.0,66.0,99.0,134.0
LIPOCALINS (BELTA),2PHY,34.4,36.0,29.599999999999998,13.709677419354838,12.903225806451612,10.483870967741936,1.0,32.0,55.0,87.0,123.0,2.0,34.0,67.0,93.0,117.0,0.0,30.0,65.0,99.0,124.0
(TIM)-BARREL (ALPHA/BELTA),1CGT3,18.6046511627907,54.65116279069767,26.744186046511626,10.588235294117647,5.88235294117647,17.647058823529413,0.0,23.5,51.0,69.75,81.0,1.0,21.5,39.0,61.5,83.0,5.0,20.0,45.0,63.5,85.0
(TIM)-BARREL (ALPHA/BELTA),6TAA1,28.342245989304814,43.58288770053476,28.07486631016043,12.332439678284182,6.702412868632708,12.868632707774799,4.0,98.5,184.5,280.5,369.0,0.0,79.5,187.0,285.5,373.0,5.0,111.0,189.0,271.0,372.0
(TIM)-BARREL (ALPHA/BELTA),1PPI1,31.017369727047146,37.220843672456574,31.76178660049628,10.44776119402985,11.691542288557214,10.44776119402985,0.0,91.0,207.0,301.0,401.0,1.0,105.25,190.0,287.75,402.0,12.0,100.25,209.5,314.25,400.0
(TIM)-BARREL (ALPHA/BELTA),1AMG1,33.33333333333333,40.55555555555556,26.111111111111114,13.09192200557103,10.027855153203342,9.192200557103064,0.0,94.5,177.5,260.5,359.0,2.0,86.5,170.5,276.5,358.0,9.0,95.75,192.0,268.25,356.0
(TIM)-BARREL (ALPHA/BELTA),1AMY1,29.855072463768117,40.57971014492754,29.565217391304348,13.372093023255813,10.465116279069768,10.174418604651162,0.0,93.5,167.0,240.5,342.0,5.0,82.25,177.0,265.5,344.0,1.0,84.75,173.5,261.5,339.0
(TIM)-BARREL (ALPHA/BELTA),1BYB,32.72727272727273,35.95959595959596,31.313131313131315,12.348178137651821,11.94331983805668,10.323886639676113,3.0,131.25,256.5,372.75,493.0,0.0,145.25,251.5,375.0,494.0,6.0,92.5,220.0,363.5,492.0
(TIM)-BARREL (ALPHA/BELTA),1GHSA,26.47058823529412,47.05882352941176,26.47058823529412,11.147540983606557,6.557377049180328,13.77049180327869,9.0,74.0,153.0,250.0,304.0,1.0,88.5,159.5,231.25,301.0,0.0,58.0,136.0,212.0,305.0
(TIM)-BARREL (ALPHA/BELTA),1XYS,32.27665706051873,40.345821325648416,27.37752161383285,12.427745664739884,9.53757225433526,11.560693641618498,6.0,104.25,182.0,261.75,346.0,0.0,76.75,155.5,256.5,345.0,1.0,81.5,195.0,259.0,343.0
(TIM)-BARREL (ALPHA/BELTA),1NAR,34.82758620689655,34.82758620689655,30.344827586206897,13.148788927335639,9.688581314878892,11.072664359861593,1.0,78.0,152.0,209.0,289.0,0.0,52.0,135.0,216.0,288.0,3.0,78.5,146.5,230.75,286.0
(TIM)-BARREL (ALPHA/BELTA),2EBN,30.103806228373703,43.25259515570934,26.643598615916954,13.194444444444445,8.680555555555555,10.069444444444445,6.0,63.0,122.0,217.0,287.0,0.0,98.0,163.0,215.0,285.0,1.0,58.0,123.0,216.0,288.0
(TIM)-BARREL (ALPHA/BELTA),1CTN2,32.11267605633803,38.309859154929576,29.577464788732392,12.994350282485875,9.322033898305085,12.711864406779661,1.0,88.5,172.5,251.25,351.0,0.0,88.25,190.5,275.75,354.0,7.0,93.0,170.0,257.0,349.0
(TIM)-BARREL (ALPHA/BELTA),1ADD,34.38395415472779,34.95702005730659,30.659025787965614,12.931034482758621,9.195402298850574,14.080459770114942,4.0,103.0,183.5,283.5,348.0,0.0,81.75,184.5,257.75,347.0,3.0,80.0,157.0,248.5,343.0
(TIM)-BARREL (ALPHA/BELTA),2KAUC2,25.72178477690289,44.881889763779526,29.396325459317584,10.789473684210527,9.210526315789473,13.94736842105263,3.0,119.75,219.0,300.0,376.0,0.0,81.5,166.0,278.5,377.0,2.0,98.25,189.5,289.0,380.0
(TIM)-BARREL (ALPHA/BELTA),1FBAA,32.5,40.27777777777778,27.22222222222222,12.534818941504177,8.07799442896936,11.142061281337048,4.0,71.0,155.0,245.0,356.0,0.0,100.0,210.0,288.0,359.0,3.0,97.25,172.0,257.0,354.0
(TIM)-BARREL (ALPHA/BELTA),1ADS,32.38095238095238,33.96825396825397,33.65079365079365,9.554140127388536,11.78343949044586,12.101910828025478,2.0,71.5,160.0,236.75,313.0,0.0,83.5,162.0,232.0,311.0,3.0,77.25,151.5,243.25,314.0
(TIM)-BARREL (ALPHA/BELTA),4ENL1,30.952380952380953,41.269841269841265,27.77777777777778,12.8,8.799999999999999,12.0,3.0,36.5,66.0,89.5,125.0,0.0,30.0,58.0,99.75,122.0,1.0,32.5,64.0,89.5,114.0
(TIM)-BARREL (ALPHA/BELTA),2MNR2,27.391304347826086,40.43478260869565,32.17391304347826,11.353711790393014,8.73362445414847,16.593886462882097,4.0,56.5,100.0,140.0,229.0,0.0,49.0,121.0,176.0,225.0,2.0,66.0,128.5,177.75,228.0
(TIM)-BARREL (ALPHA/BELTA),1CHRA2,29.207920792079207,38.613861386138616,32.17821782178218,8.45771144278607,9.950248756218906,17.412935323383085,1.0,39.0,82.0,114.0,195.0,2.0,58.25,121.5,164.75,199.0,0.0,53.0,106.0,154.0,201.0
(TIM)-BARREL (ALPHA/BELTA),1OYB,33.75,38.5,27.750000000000004,14.035087719298245,8.020050125313283,10.776942355889723,4.0,106.5,194.0,304.0,399.0,1.0,99.25,205.5,294.5,395.0,0.0,96.0,198.0,296.5,396.0
(TIM)-BARREL (ALPHA/BELTA),1GOX,28.184281842818425,39.56639566395664,32.24932249322493,9.510869565217392,10.054347826086957,13.31521739130435,1.0,84.75,175.0,270.75,367.0,3.0,94.25,186.0,274.75,366.0,0.0,101.5,190.0,281.5,368.0
(TIM)-BARREL (ALPHA/BELTA),2TMDA1,32.29166666666667,40.10416666666667,27.604166666666668,12.532637075718014,11.488250652741515,9.660574412532636,1.0,89.0,192.0,287.75,383.0,0.0,95.25,172.5,275.25,379.0,7.0,106.25,217.0,295.5,382.0
(TIM)-BARREL (ALPHA/BELTA),1PII1,31.800766283524908,36.39846743295019,31.800766283524908,10.76923076923077,8.846153846153847,12.307692307692308,1.0,57.5,131.0,187.0,258.0,2.0,69.5,127.0,205.5,260.0,0.0,73.5,134.0,193.0,257.0
(TIM)-BARREL (ALPHA/BELTA),1WSYA  (1BKSA),27.238805970149254,41.7910447761194,30.970149253731343,10.486891385767791,7.490636704119851,14.232209737827715,1.0,55.0,123.0,187.0,266.0,3.0,75.5,154.5,210.5,267.0,0.0,65.5,120.0,191.0,261.0
(TIM)-BARREL (ALPHA/BELTA),1PKN1,26.857142857142858,40.57142857142857,32.57142857142858,13.218390804597702,8.620689655172415,12.643678160919542,1.0,40.5,91.0,128.5,170.0,2.0,46.5,81.0,118.0,173.0,0.0,42.0,95.0,138.0,174.0
(TIM)-BARREL (ALPHA/BELTA),3RUB2,30.50314465408805,37.735849056603776,31.761006289308174,10.410094637223976,8.517350157728707,14.826498422712934,0.0,64.0,154.0,243.0,315.0,1.0,87.0,154.0,234.75,309.0,6.0,98.0,169.0,238.0,317.0
(TIM)-BARREL (ALPHA/BELTA),5RUB2,27.2108843537415,45.23809523809524,27.55102040816326,13.993174061433447,5.460750853242321,14.675767918088736,0.0,68.75,139.5,217.75,292.0,1.0,88.0,156.0,218.0,293.0,4.0,53.0,129.0,221.0,291.0
(TIM)-BARREL (ALPHA/BELTA),1TPH1,30.612244897959183,38.775510204081634,30.612244897959183,9.836065573770492,11.475409836065573,9.426229508196721,0.0,57.0,128.0,178.5,243.0,5.0,67.0,121.0,190.5,244.0,2.0,59.5,119.0,182.0,240.0
(TIM)-BARREL (ALPHA/BELTA),4XIAA,30.025445292620866,41.475826972010175,28.498727735368956,13.26530612244898,8.673469387755102,12.755102040816327,1.0,111.25,203.0,299.25,392.0,2.0,92.5,194.0,292.0,391.0,0.0,90.75,195.0,279.25,389.0
(TIM)-BARREL (ALPHA/BELTA),1NFP,35.96491228070175,32.01754385964912,32.01754385964912,12.77533039647577,10.572687224669604,10.572687224669604,2.0,69.25,129.0,188.75,227.0,1.0,50.0,90.0,154.0,224.0,0.0,51.0,116.0,176.0,226.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),2TMDA2,33.92857142857143,40.476190476190474,25.595238095238095,11.377245508982035,10.778443113772456,7.784431137724551,0.0,59.0,88.0,126.0,164.0,1.0,34.5,77.5,122.75,166.0,7.0,44.5,90.0,126.5,167.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),3COX1,27.492447129909365,43.202416918429,29.305135951661633,10.303030303030303,9.090909090909092,12.727272727272727,0.0,84.0,154.0,248.5,330.0,3.0,90.0,167.0,241.5,329.0,2.0,75.0,172.0,256.0,327.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),1PBE1,31.601731601731604,36.36363636363637,32.03463203463203,12.173913043478262,10.434782608695652,10.869565217391305,1.0,62.0,117.0,164.0,228.0,2.0,63.5,114.0,176.75,230.0,0.0,51.25,115.0,168.75,229.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),1GAL1,23.52941176470588,45.09803921568628,31.372549019607842,12.31527093596059,6.403940886699508,16.25615763546798,2.0,51.5,90.5,157.0,203.0,0.0,48.75,99.5,150.25,201.0,1.0,57.5,114.5,153.5,202.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),1TRB1,27.27272727272727,46.524064171122994,26.203208556149733,12.903225806451612,8.60215053763441,9.67741935483871,3.0,56.5,90.0,130.5,185.0,0.0,37.0,102.0,144.5,186.0,7.0,51.0,88.0,136.0,184.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),2TPRA1,28.57142857142857,43.27731092436975,28.15126050420168,14.345991561181433,6.329113924050633,13.924050632911392,1.0,78.25,128.5,182.25,235.0,0.0,47.5,115.0,173.0,237.0,5.0,58.0,118.0,175.5,227.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),2TPRA2,33.88429752066116,37.1900826446281,28.92561983471074,17.5,9.166666666666666,10.0,0.0,37.0,68.0,88.0,114.0,1.0,31.0,55.0,91.0,119.0,2.0,28.5,60.0,88.5,120.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),3LADA1,26.31578947368421,44.29824561403509,29.385964912280706,11.013215859030836,8.370044052863436,11.894273127753303,1.0,63.0,119.0,172.25,227.0,0.0,55.0,114.0,168.0,226.0,3.0,55.5,108.0,170.0,224.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),3LADA2,31.967213114754102,31.967213114754102,36.0655737704918,6.6115702479338845,14.049586776859504,10.743801652892563,1.0,42.5,71.0,96.5,116.0,3.0,27.5,49.0,86.5,120.0,0.0,30.75,55.5,86.0,121.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),1FCDA1,27.127659574468083,45.744680851063826,27.127659574468083,12.834224598930483,8.02139037433155,10.695187165775401,2.0,52.5,93.0,133.5,187.0,0.0,40.5,90.5,143.75,185.0,4.0,47.5,100.0,139.5,183.0
FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),1FCDA2,28.776978417266186,43.884892086330936,27.33812949640288,11.594202898550725,10.144927536231885,8.695652173913043,1.0,25.75,73.5,102.5,134.0,0.0,36.0,58.0,95.0,138.0,7.0,42.5,80.0,112.5,136.0
